English (United States),German (Germany),Part of Speech,notes
nose,Nase,noun,
nuts,Nüsse,noun,
oak tree,Eichen,noun,German uses plural 'Eichen' in 'unter den Eichen'
oil,Öl,verb,appears as verb 'ölte' and noun 'Ölkännchen' context matters
oil-can,Ölkännchen,noun,
old leather shoes,alte Lederschuhe,noun,
old time fairy tale,altes Märchen,noun,Rendered as 'das alte Märchen' in German
Omaha,Omaha,noun,
opening,Lichtung,noun,
orphan,Waise,noun,
outer wall,Außenseite der Mauer,noun,German phrasing 'Tor an der Außenseite der Mauer' — context: gate in outer wall
owner,Besitzer,noun,
Oz,Oz,noun,
pail,Eimer,noun,
palace,Palast,noun,
patch,Flicken,noun,
paw,Tatze,noun,
pins and needles,Nadeln und Nägel,noun,
platter,Servierplatte,noun,simile describing the smooth white floor
pole,Stange,noun,
Policemen of the forest,Polizisten des Waldes,noun,figurative phrase — German uses plural 'Polizisten des Waldes'
poppy,Mohnblume,noun,
poppy bed,Mohnblumenbeet,noun,
poppy field,Mohnfeld,noun,
poppy meadow,Mohnblumenwiese,noun,
prairie,Prärie,noun,
pressure,Druck,noun,
Prince,Prinzen,noun,
princess,Prinzessin,noun,
prison,Gefängnis,noun,
Quadlings,Quadlinge,noun,
queen,Königin,noun,
queen of the field mice,Königin der Feldmäuse,noun,
Queen of the Mice,Mäusekönigin,noun,
Quelala,Quelala,noun,
raft,Floß,noun,
rainstorm,Wolkenbruch,noun,
rise,erhob sich,verb,verb in context of house rising
river,Fluß,noun,
road of yellow brick,Straße der gelben Ziegelsteine,noun,Fictional path in the story; keep wording literal
road to the south,Straße nach Süden,noun,
roar,brüllen,noun,
roof,Dach,noun,
rope,Seil,noun,
ruby blocks,Rubinblöcken,noun,used in construction of palace ('aus großen Rubinblöcken').
ruby palace,Rubinpalast,noun,
ruby throne,Thron aus Rubinen,noun,
rust,rosten,verb,verb forms appear; translator should use appropriate inflection
sack,Sack,noun,meant for head
sawdust,Sägemehl,noun,
Scarecrow,Vogelscheuche,noun,
scream,aufschrie,verb,verb form in German; base 'aufschreien' used in text
secret,Geheimnis,noun,
sheets,Bettücher,noun,
shoes,Schuhe,noun,
shriek,Kreischen,noun,wind shriek translated as 'Kreischen'
silk,Seide,noun,
Silver Shoes,Silberschuhe,noun,
silver whistle,Silberpfeife,noun,
sky,Himmelsrand,noun,English 'sky' sometimes translated as phrase 'Himmelsrand' in context
slate,Tafel,noun,
slave,Sklavin,noun,
sleep,schlaf,verb,German uses both noun/verb forms; translators should choose appropriate form (schlafen/Schlaf).
snarl,Zähnefletschen,verb,German uses a compound verb/noun to convey snarling/bared teeth
soldier girl,junge Soldatin,noun,
soldier with green whiskers,Soldat mit dem grünen Bart,noun,"appears as 'Soldat, in eine grüne Uniform gekleidet und mit einem langen grünen Bart'"
soldier with the green whiskers,Soldat mit dem grünen Bart,noun,
solid ground,fester Boden,noun,
Sorceress,Zauberin,noun,
south country,Land des Südens,noun,
south wind,Südwind,noun,
spectacles,Brillen,noun,
spider,Spinne,noun,
spring,Quelle,noun,
spring,Satz,noun,German 'Satz' denotes a leap/jump
stars,Sterne,noun,
stiffen,versteifen,verb,infinitive
storm,Sturm,noun,
straw,Stroh,noun,
string,Schnur,noun,
sunbonnet,Sonnenhaube,noun,
supper,Abendbrot,noun,
table,Tisch,noun,
teeth,Zähne,noun,
terrible Beast,schreckliches Biest,noun,
the charm of the Cap,Zauber der Goldnen Kappe,noun,German also uses 'Zauberspruch der Kappe' elsewhere; 'Goldnen Kappe' appears for the enchanted cap.
the land of the West,Land des Westens,noun,
the Wonderful Wizard,Wunderwirkenden Zauberer,noun,German compounds 'Wonderful Wizard' differently; tone matters
The Wonderful Wizard of Oz,Wunderwirkenden Zauberer von Oz,noun,German title appears as 'Wunderwirkenden Zauberer von Oz' within text
three steps,drei Schritten,noun,
three times,dreimal,noun,phrase crucial for the cap's power: 'dreimal gehorchen'.
throne,Thron,noun,
throne of rubies,Thron aus Rubinen,noun,
throne room,Thronsaal,noun,
tiger,Tiger,noun,
Tin Woodman,Blechholzfäller,noun,proper name/capitalization — appears as title and as character name
tinsmith,Blechschmied,noun,
tinsmith’s shears,Blechschere,noun,
Toto,Toto,noun,
towel,Handtuch,noun,
trap door,Falltür,noun,
tree,Baum,noun,
tree trunk,Baumstamm,noun,
truck,Wagen,noun,English 'truck' rendered as 'Wagen' in German
umbrella,Regenschirm,noun,
Uncle Henry,Onkel Henry,noun,
underbrush,Unterholz,noun,
ventriloquist,Bauchredner,noun,
voice,Stimme,noun,
wagon,Wagen,noun,English 'truck' rendered as 'Wagen' in German
wail,Heulen,noun,'a low wail of the wind' -> 'leises Heulen' in German
walking stick,Stock mit goldenem Knauf,noun,English 'gold-headed walking stick' translated with full description
wardrobe,Garderobenschrank,noun,
wasp’s waist,Wespentaille,noun,
water,Wasser,noun,
well-trodden path,ausgetretener Pfad,noun,
whirlwind,Wirbelsturm,noun,
white china,weißem Porzellan,noun,
white cloth,weißes Tuch,noun,
Wicked Witch,Böse Hexe,noun,
Wicked Witch of the East,Böse Hexe des Ostens,noun,
Wicked Witch of the West,Böse Hexe des Westens,noun,
wild beast,wildes Tier,noun,
wildcat,Wildkatze,noun,
wind,Wind,noun,
winged fairy,geflügelte Elfe,noun,'Elfen' used instead of 'Feen' for 'fairies' in this translation
winged monkey,geflügelter Affe,noun,
Winkies,Winkies,noun,
witch,Hexe,noun,German lists cases: 'Hexen des Nordens und Südens' etc.
Witch of the East,Ost-Hexe,noun,
Witch of the North,Hexe des Nordens,noun,
Witch of the South,Hexe des Südens,noun,
Witch of the West,West-Hexe,noun,German hyphenates 'West-Hexe' or 'böse West-Hexe'
wizard,Zauberer,noun,
Wizard Oz,Zauberer Oz,noun,
wolf,Wolf,noun,
Woodman,Holzfäller,noun,
yellow brick,gelben Ziegelsteine,adjective,appears as part of 'gelbe Ziegelsteinstraße' later — translate consistently
yellow brick road,Straße mit gelben Ziegelsteinen,noun,German: 'Die Straße zur Stadt der Smaragde ist mit gelben Ziegelsteinen gepflastert' — keep as 'gelbe Ziegelsteine' phrase
Yellow Land,Gelbes Land,noun,
yellow road-bed,gelben Straßenbelag,noun,
