Segment,Source,Target,RAG adheres?,SPA obviously adheres?,SPA adheres?,Agreement?,RAG suggestion,SPA suggestion,Agreement on suggestion,RAG Terms,SPA Terms
10,"Frank Baum Chicago, April, 1900.","Frank Baum Chicago, April, 1900.",TRUE,TRUE,TRUE,TRUE,,,TRUE,The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Chicago → Chicago | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | Great Oz → großen Oz | Emerald City → Smaragdstadt | Good Witch of the North → Gute Hexe des Nordens | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of'),
11,The Wonderful Wizard of Oz,Der wunderbare Zauberer von Oz,FALSE,TRUE,TRUE,FALSE,Wunderwirkenden Zauberer von Oz,Wunderwirkenden Zauberer von Oz,TRUE,The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of') | Great Oz → großen Oz | Good Witch of the North → Gute Hexe des Nordens | Wicked Witch of the West → Böse Hexe des Westens | Wicked Witch of the East → Böse Hexe des Ostens,"1. term: ""The Wonderful Wizard of Oz"" → preferred: ""Wunderwirkenden Zauberer von Oz"" (part of speech: noun) (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text)"
12,Chapter I,Kapitel I,TRUE,TRUE,TRUE,TRUE,,,TRUE,opening → Lichtung | Chicago → Chicago | cap → Kappe | Uncle Henry → Onkel Henry | Golden Cap → Goldene Kappe | the charm of the Cap → Zauber der Goldnen Kappe (note: German also uses 'Zauberspruch der Kappe' elsewhere; 'Goldnen Kappe' appears for the enchanted cap.) | childhood → Kindheit | home → zu Hause (adverb) (note: Appears as 'wieder zu Hause' in German.),
13,The Cyclone,Der Wirbelsturm,FALSE,TRUE,TRUE,FALSE,Der Zyklon,Der Zyklon,TRUE,cyclone → Zyklon | cyclone cellar → Zyklonkeller (note: compound noun in German; single word) | whirlwind → Wirbelsturm | storm → Sturm | rainstorm → Wolkenbruch | south wind → Südwind | Wizard Oz → Zauberer Oz | Dorothy → Dorothy,"1. term: ""cyclone"" → preferred: ""Zyklon"" (part of speech: noun)"
14,"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer’s wife.","Dorothy lebte inmitten der großen Prärie von Kansas bei Onkel Henry, einem Farmer, und Tante Em, der Frau des Farmers.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Aunt Em → Tante Em | Dorothy → Dorothy | Good Witch of the North → Gute Hexe des Nordens | Uncle Henry → Onkel Henry | Witch of the East → Ost-Hexe | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Wizard Oz → Zauberer Oz | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters),
15,"Their house was small, for the lumber to build it had to be carried by wagon many miles.","Ihr Haus war klein, denn das Holz für den Bau musste viele Kilometer weit mit dem Wagen transportiert werden.",TRUE,TRUE,TRUE,TRUE,,,TRUE,farmhouse → Bauernhof | cottage → Hütte | farmer's wife → Bauersfrau | little woman → kleine Frau | wagon → Wagen (note: English 'truck' rendered as 'Wagen' in German) | house shook → Haus schwankte (note: phrase indicating house movement) | houses of the Munchkins → Häuser der Munchkins | house → Haus,
16,"There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.","Es gab vier Wände, einen Boden und ein Dach, die einen Raum bildeten; und dieser Raum enthielt einen rostigen Herd, einen Schrank für das Geschirr, einen Tisch, drei oder vier Stühle und die Betten.",FALSE,TRUE,TRUE,FALSE,"Es gab vier Wände, einen Boden und ein Dach, die einen Raum bildeten; und dieser Raum enthielt einen rostig aussehenden Kochherd, einen Schrank für das Geschirr, einen Tisch, drei oder vier Stühle und die Betten.","Es gab vier Wände, einen Boden und ein Dach, die einen Raum bildeten; und dieser Raum enthielt einen rostig aussehenden Kochherd, einen Schrank für die Schalen, einen Tisch, drei oder vier Stühle und die Betten.",FALSE,cookstove → Kochherd | cupboard → Schrank | kitchen → Küche | houses of the Munchkins → Häuser der Munchkins | bedroom corner → Ecke (note: corner of the room/bed translated as 'Ecke') | cottage → Hütte | farmhouse → Bauernhof | bed → Bett,"1. term: ""cookstove"" → preferred: ""Kochherd"" (part of speech: noun) | 2. term: ""dish"" → preferred: ""Schale"" (part of speech: noun)"
17,"Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.",Onkel Henry und Tante Em hatten ein großes Bett in einer Ecke und Dorothy ein kleines Bett in einer anderen Ecke.,TRUE,TRUE,TRUE,TRUE,,,TRUE,Aunt Em → Tante Em | Uncle Henry → Onkel Henry | Dorothy → Dorothy | bedroom corner → Ecke (note: corner of the room/bed translated as 'Ecke') | houses of the Munchkins → Häuser der Munchkins | poppy bed → Mohnblumenbeet | Good Witch of the North → Gute Hexe des Nordens | Witch of the East → Ost-Hexe,
18,"There was no garret at all, and no cellar—except a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.","Es gab weder eine Mansarde noch einen Keller - außer einem kleinen Loch im Boden, das Zyklonkeller genannt wurde und in das sich die Familie flüchten konnte, falls einer der großen Wirbelstürme aufkam, die so mächtig waren, dass sie jedes Gebäude in ihrem Weg zerstörten.",TRUE,TRUE,TRUE,TRUE,,,FALSE,cyclone cellar → Zyklonkeller (note: compound noun in German; single word) | cellar → Keller | cyclone → Zyklon | whirlwind → Wirbelsturm | houses of the Munchkins → Häuser der Munchkins | castle of Glinda → Glindas Schloß | cottage → Hütte | trap door → Falltür,
19,"It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.","Sie war durch eine Falltür in der Mitte des Bodens zu erreichen, von der aus eine Leiter in das kleine, dunkle Loch hinabführte.",TRUE,TRUE,TRUE,TRUE,,,TRUE,trap door → Falltür | ladder → Leiter | cellar → Keller | muddy hole → modderiges Loch | throne room → Thronsaal | bucket of water → Eimer Wasser (note: used when Dorothy throws water over the Witch) | cupboard → Schrank | roof → Dach,
20,"When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.","Als Dorothy in der Tür stand und sich umsah, konnte sie nichts als die große graue Prärie auf allen Seiten sehen.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Dorothy → Dorothy | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | prairie → Prärie | Good Witch of the North → Gute Hexe des Nordens | Wicked Witch of the East → Böse Hexe des Ostens | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of') | road of yellow brick → Straße der gelben Ziegelsteine (note: Fictional path in the story; keep wording literal) | yellow brick road → Straße mit gelben Ziegelsteinen (note: German: 'Die Straße zur Stadt der Smaragde ist mit gelben Ziegelsteinen gepflastert' — keep as 'gelbe Ziegelsteine' phrase),
21,Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.,"Kein Baum und kein Haus unterbrachen die Weite des flachen Landes, das in allen Richtungen bis zum Himmel reichte.",TRUE,TRUE,TRUE,TRUE,,"Kein Baum und kein Haus unterbrachen die Weite des flachen Landes, das in allen Richtungen bis zum Himmelsrand reichte.",FALSE,prairie → Prärie | forest → Wald | the land of the West → Land des Westens | south country → Land des Südens | greensward → grüner Rasen (note: English phrase; German uses ‚grüner Rasen‘ or ‚Flecken von grünem Rasen’) | cornfield → Maisfeld | green lawn → grünen Rasen | houses of the Munchkins → Häuser der Munchkins,"1. term: ""sky"" → preferred: ""Himmelsrand"" (part of speech: noun) (note: English 'sky' sometimes translated as phrase 'Himmelsrand' in context)"
22,"The sun had baked the plowed land into a gray mass, with little cracks running through it.","Die Sonne hatte das gepflügte Land zu einer grauen Masse gebrannt, die von kleinen Rissen durchzogen war.",TRUE,TRUE,TRUE,TRUE,,,TRUE,cornfield → Maisfeld | yellow road-bed → gelben Straßenbelag | Yellow Land → Gelbes Land | prairie → Prärie | solid ground → fester Boden | desert → Wüste | muddy hole → modderiges Loch | grain → Getreide,
23,"Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.","Selbst das Gras war nicht grün, denn die Sonne hatte die Spitzen der langen Halme verbrannt, bis sie überall die gleiche graue Farbe hatten.",TRUE,TRUE,TRUE,TRUE,,"Selbst das Gras war nicht grün, denn die Sonne hatte die Spitzen der langen Klingen verbrannt, bis sie überall die gleiche graue Farbe hatten.",FALSE,green lawn → grünen Rasen | greensward → grüner Rasen (note: English phrase; German uses ‚grüner Rasen‘ or ‚Flecken von grünem Rasen’) | grass → Gras | green carpet → grünen Teppich | green clothes → grün gekleidet | green furniture → grüne Möbel | dried leaves → trockenes Laub | Yellow Land → Gelbes Land,"1. term: ""blade"" → preferred: ""Klinge"" (part of speech: noun)"
24,"Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.","Einst war das Haus gestrichen worden, aber die Sonne hatte die Farbe verbrannt und der Regen hatte sie weggewaschen, und nun war das Haus so trist und grau wie alles andere.",TRUE,TRUE,TRUE,TRUE,,,TRUE,house shook → Haus schwankte (note: phrase indicating house movement) | houses of the Munchkins → Häuser der Munchkins | house → Haus | yellow brick → gelben Ziegelsteine (adjective) (note: appears as part of 'gelbe Ziegelsteinstraße' later — translate consistently) | road of yellow brick → Straße der gelben Ziegelsteine (note: Fictional path in the story; keep wording literal) | china house → Haus aus Porzellan (note: compound appears as 'Häuser ... aus Porzellan' in German; use consistent phrasing) | yellow road-bed → gelben Straßenbelag | muddy hole → modderiges Loch,
25,"When Aunt Em came there to live she was a young, pretty wife.","Als Tante Em dort einzog, war sie eine junge, hübsche Frau.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Aunt Em → Tante Em | Good Witch of the North → Gute Hexe des Nordens | Witch of the East → Ost-Hexe | Emerald City → Smaragdstadt | farmer's wife → Bauersfrau | Dorothy → Dorothy | Uncle Henry → Onkel Henry | Glinda → Glinda,
26,"The sun and wind had changed her, too.",Die Sonne und der Wind hatten auch sie verändert.,TRUE,TRUE,TRUE,TRUE,,,TRUE,wind → Wind | south wind → Südwind | whirlwind → Wirbelsturm | Witch of the West → West-Hexe (note: German hyphenates 'West-Hexe' or 'böse West-Hexe') | north wind → Nordwind | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Good Witch of the North → Gute Hexe des Nordens | Witch of the North → Hexe des Nordens,
27,"They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.","Sie hatten ihr das Funkeln aus den Augen genommen und sie in ein nüchternes Grau getaucht; sie hatten das Rot aus ihren Wangen und Lippen genommen, und auch sie waren grau.",TRUE,TRUE,TRUE,TRUE,,,TRUE,mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | green spectacles → grünen Brillen | dried leaves → trockenes Laub | Silver Shoes → Silberschuhe | Witch of the East → Ost-Hexe | Witch of the West → West-Hexe (note: German hyphenates 'West-Hexe' or 'böse West-Hexe') | green whiskers → grünen Bart | green glass → grünes Glas,
28,"She was thin and gaunt, and never smiled now.",Sie war dünn und abgemagert und lächelte nicht mehr.,TRUE,TRUE,TRUE,TRUE,,,TRUE,Aunt Em → Tante Em | Witch of the West → West-Hexe (note: German hyphenates 'West-Hexe' or 'böse West-Hexe') | Witch of the North → Hexe des Nordens | Munchkin girl → Munchkinmädchen | Good Witch of the North → Gute Hexe des Nordens | Wicked Witch of the West → Böse Hexe des Westens | wasp’s waist → Wespentaille | Witch of the East → Ost-Hexe,
29,"When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child’s laughter that she would scream and press her hand upon her heart whenever Dorothy’s merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.","Als Dorothy, die ein Waisenkind war, das erste Mal zu ihr kam, war Tante Em durch das Lachen des Kindes so erschrocken, dass sie schrie und ihre Hand auf ihr Herz drückte, sobald Dorothys fröhliche Stimme ihre Ohren erreichte; und sie sah das kleine Mädchen immer noch mit Verwunderung an, dass es irgendetwas fand, worüber sie lachen konnte.",TRUE,TRUE,TRUE,TRUE,,"Als Dorothy, die eine Waise war, das erste Mal zu ihr kam, war Tante Em durch das Lachen des Kindes so erschrocken, dass sie aufschoß/aufschrie und ihre Hand auf ihr Herz drückte, sobald Dorothys fröhliche Stimme ihre Ohren erreichte; und sie sah das kleine Mädchen immer noch mit Verwunderung an, dass es irgendetwas fand, worüber es lachen konnte.",FALSE,Aunt Em → Tante Em | Dorothy → Dorothy | Good Witch of the North → Gute Hexe des Nordens | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Glinda → Glinda | Witch of the East → Ost-Hexe | Wicked Witch of the East → Böse Hexe des Ostens | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters),"1. term: ""orphan"" → preferred: ""Waise"" (part of speech: noun) | 2. term: ""child"" → preferred: ""Kind"" (part of speech: noun) | 3. term: ""scream"" → preferred: ""aufschrie"" (part of speech: verb) (note: verb form in German; base 'aufschreien' used in text)"
30,Uncle Henry never laughed.,Onkel Henry hat nie gelacht.,TRUE,TRUE,TRUE,TRUE,,,TRUE,Uncle Henry → Onkel Henry | Aunt Em → Tante Em | Mr. Joker → Mr. Joker | laugh → Lachen | blood-curdling incidents → grauenerregenden Ereignissen | King Crow → Krähenkönig | Scarecrow → Vogelscheuche | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun),
31,He worked hard from morning till night and did not know what joy was.,"Er arbeitete hart von morgens bis abends und wusste nicht, was Freude ist.",TRUE,TRUE,TRUE,TRUE,,,TRUE,heartaches → Herzbeklemmungen | slave → Sklavin | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | farmer → Farmer | Uncle Henry → Onkel Henry | childhood → Kindheit | Woodman → Holzfäller | orphan → Waise,
32,"He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","Auch er war grau, von seinem langen Bart bis zu den rauen Stiefeln, und er sah streng und ernst aus und sprach selten.",TRUE,TRUE,TRUE,TRUE,,,TRUE,"soldier with the green whiskers → Soldat mit dem grünen Bart | beard → Bart | soldier with green whiskers → Soldat mit dem grünen Bart (note: appears as 'Soldat, in eine grüne Uniform gekleidet und mit einem langen grünen Bart') | Uncle Henry → Onkel Henry | Great Wizard → Großer Zauberer | king of the forest → König des Waldes | Great and Terrible → Große und Schreckliche | wolf → Wolf","1. term: ""boots"" → preferred: ""Stiefel"" (part of speech: noun)"
33,"It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.","Es war Toto, der Dorothy zum Lachen brachte und sie davor bewahrte, so grau zu werden wie ihre übrige Umgebung.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Dorothy → Dorothy | Glinda → Glinda | Toto → Toto | Good Witch of the North → Gute Hexe des Nordens | Wizard Oz → Zauberer Oz | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name),
34,"Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.","Toto war nicht grau, er war ein kleiner schwarzer Hund mit langem, seidigem Haar und kleinen schwarzen Augen, die auf beiden Seiten seiner lustigen, kleinen Nase fröhlich funkelten.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Toto → Toto | dog → Hund | china dog → Porzellanhund | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Cowardly Lion → Feige Löwe (adjective) (note: title/capition uses adjective before noun) | little woman → kleine Frau | Dorothy → Dorothy | land of the Winkies → Land der Winkies (note: see also Country of the West),
35,"Toto played all day long, and Dorothy played with him, and loved him dearly.","Toto spielte den ganzen Tag, und Dorothy spielte mit ihm und liebte ihn innig.",TRUE,TRUE,TRUE,TRUE,,,TRUE,Dorothy → Dorothy | Toto → Toto | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Wizard Oz → Zauberer Oz | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Good Witch of the North → Gute Hexe des Nordens | Glinda → Glinda,
36,"Today, however, they were not playing.",Heute jedoch spielten sie nicht.,TRUE,TRUE,TRUE,TRUE,,,TRUE,broken → zerbrochen | hill of the Hammer-Heads → Berg der Hammerköpfe | holiday → Feiertag | basket → Korb | Hammer-Heads → Hammerköpfe (note: plural form only) | Omaha → Omaha | solid ground → fester Boden | Toto → Toto,
